character,word1,word2,n
Jerry,guy,ripped,3
Jerry,holy,cow,3
Jerry,hot,tub,3
Jerry,hot,water,3
Jerry,hounds,tooth,3
Jerry,hundred,miles,3
Jerry,ill,call,3
Jerry,im,supposed,3
Jerry,joe,devola,3
Jerry,john,houseman,3
Jerry,john,mollika,3
Jerry,june,29th,3
Jerry,ken,burns,3
Jerry,kenny,rogers,3
Jerry,ketchup,bottle,3
Jerry,label,maker,3
Jerry,lloyd,braun,3
Jerry,marisa,tomei,3
Jerry,maroon,golf,3
Jerry,meryl,streep,3
Jerry,mmm,mmm,3
Jerry,months,ago,3
Jerry,murphy,brown,3
Jerry,one's,gonna,3
Jerry,orange,dress,3
Jerry,ori,dent,3
Jerry,outer,space,3
Jerry,paper,towels,3
Jerry,pat,cooper,3
Jerry,people,staring,3
Jerry,pez,dispenser,3
Jerry,phone,walk,3
Jerry,pimple,popper,3
Jerry,pkew,pkew,3
Jerry,play,now,3
Jerry,presses,button,3
Jerry,private,jet,3
Jerry,red,shirt,3
Jerry,remote,control,3
Jerry,risk,management,3
Jerry,sips,coffee,3
Jerry,south,america,3
Jerry,speed,dial,3
Jerry,sport,jacket,3
Jerry,star,wars,3
Jerry,stationery,store,3
Jerry,store,guy,3
Jerry,taft,sagman,3
Jerry,taking,care,3
Jerry,thirty,minutes,3
Jerry,time,ago,3
Jerry,upper,west,3
Jerry,walk,list,3
Jerry,wanna,fight,3
Jerry,wanna,meet,3
Jerry,wear,em,3
Jerry,what'd,ya,3
Jerry,whats,wrong,3
Jerry,white,cookie,3
Jerry,white,omelet,3
Jerry,white,shoes,3
Jerry,ya,gonna,3
Jerry,youre,engaged,3
Jerry,youve,gotta,3
Kramer,24,hours,3
Kramer,alright,now,3
Kramer,ba,boom,3
Kramer,birthday,card,3
Kramer,boom,ba,3
Kramer,bum,bum,3
Kramer,cafe,lattes,3
Kramer,candy,bar,3
Kramer,cha,cha,3
Kramer,chinese,food,3
Kramer,commando,8,3
Kramer,country,club,3
Kramer,da,da,3
Kramer,deh,deh,3
Kramer,dinky,donuts,3
Kramer,enters,apartment,3
Kramer,gail,cunningham,3
Kramer,garbage,disposal,3
Kramer,gonna,bring,3
Kramer,gonna,cost,3
Kramer,gonna,pay,3
Kramer,gonna,wear,3
Kramer,gotta,pick,3
Kramer,gotta,talk,3
Kramer,happy,hour,3
Kramer,har,harwood,3
Kramer,heat,pump,3
Kramer,hong,kong,3
Kramer,honk,honk,3
Kramer,hoochie,mama,3
Kramer,hot,dog,3
Kramer,hundred,percent,3
Kramer,ice,cream,3
Kramer,im,telling,3
Kramer,jackie,chiles,3
Kramer,kenny,kenny,3
Kramer,kramerica,industries,3
Kramer,lloyd,braun,3
Kramer,low,tone,3
Kramer,mail,fraud,3
Kramer,makes,sound,3
Kramer,mental,phone,3
Kramer,merry,christmas,3
Kramer,merv,griffin,3
Kramer,mickey,mantle,3
Kramer,movie,phone,3
Kramer,now,calm,3
Kramer,overly,excited,3
Kramer,pitched,voice,3
Kramer,pottery,barn,3
Kramer,pre,nup,3
Kramer,price,club,3
Kramer,real,peterman,3
Kramer,screen,door,3
Kramer,shuts,door,3
Kramer,sister,roberta,3
Kramer,smacks,hands,3
Kramer,snaps,fingers,3
Kramer,starts,coughing,3
Kramer,thirty,percent,3
Kramer,time,now,3
Kramer,twenty,minutes,3
Kramer,um,hm,3
Kramer,wanna,lose,3
Kramer,wh,wh,3
Kramer,wow,wow,3
Kramer,yo,ma,3
Kramer,yo,yo,3
Elaine,400,sugar,2
Elaine,60,minutes,2
Elaine,7,pounds,2
Elaine,absolutely,love,2
Elaine,aerobics,class,2
Elaine,ah,ah,2
Elaine,ah,hah,2
Elaine,alec,berg,2
Elaine,alright,send,2
Elaine,alumni,magazine,2
Elaine,anti,virgin,2
Elaine,apartment,singing,2
Elaine,ash's,party,2
Elaine,autographed,picture,2
Elaine,ba,ba,2
Elaine,baby,shower,2
Elaine,bachelor,auction,2
Elaine,bad,seed,2
Elaine,bar,fortune,2
Elaine,bathroom,door,2
Elaine,bay,bee,2
Elaine,beep,beep,2
Elaine,beth,arnie,2
Elaine,beth,lookner,2
Elaine,birth,control,2
Elaine,birthday's,comin,2
Elaine,bleh,bleh,2
Elaine,blond,guy,2
Elaine,blue,berries,2
Elaine,bob,saccamano,2
Elaine,boo,doo,2
Elaine,book,signing,2
Elaine,boom,boom,2
Elaine,boom,chicka,2
Elaine,botticelli,shoes,2
Elaine,breath,hoh,2
Elaine,bubble,boy,2
Elaine,bulls,game,2
Elaine,car,service,2
Elaine,casus,belli,2
Elaine,chapter,eleven,2
Elaine,chase,ya,2
Elaine,cheryl,miller's,2
Elaine,chicka,boom,2
Elaine,chinese,woman,2
Elaine,chit,chat,2
Elaine,cinnamon,babka,2
Elaine,claps,hands,2
Elaine,close,friends,2
Elaine,copy,machine,2
Elaine,cousin,holly,2
Elaine,cousin,jeffrey,2
Elaine,crust,pizza,2
Elaine,cups,chopped,2
Elaine,cute,guy,2
Elaine,d'you,care,2
Elaine,david,puddy,2
Elaine,david,putty,2
Elaine,de,leon,2
Elaine,deep,breath,2
Elaine,devils,fan,2
Elaine,dingo,ate,2
Elaine,dixieland,deli,2
Elaine,dog,tonight,2
Elaine,dont,forget,2
Elaine,dont,understand,2
Elaine,door,neighbor,2
Elaine,dr,zaius,2
Elaine,drug,addict,2
Elaine,dustin,hoffman,2
Elaine,easy,getaway,2
Elaine,ellen,mischke,2
Elaine,embarrassed,free,2
Elaine,employment,opportunity,2
Elaine,english,patient,2
Elaine,entering,monk's,2
Elaine,entire,city,2
Elaine,epstein,barr,2
Elaine,equal,employment,2
Elaine,ethyl,kennedy,2
Elaine,extra,ticket,2
Elaine,fat,guy,2
Elaine,feel,comfortable,2
Elaine,fifteen,thousand,2
Elaine,fifty,thousand,2
Elaine,flight,attendant,2
Elaine,foot,im,2
Elaine,fortune,cookie,2
Elaine,friend,kim,2
Elaine,friend,noreen,2
Elaine,friend,wendy,2
Elaine,golden,boy,2
Elaine,gonna,change,2
Elaine,gonna,check,2
Elaine,gonna,eat,2
Elaine,gonna,happen,2
Elaine,gonna,kill,2
Elaine,gonna,pay,2
Elaine,gonna,wear,2
Elaine,green,lantern,2
Elaine,guy,calls,2
Elaine,hand,gestures,2
Elaine,happy,festivus,2
Elaine,happy,gasp,2
Elaine,hart's,voice,2
Elaine,hate,smugness,2
Elaine,hmhmhm,laughing,2
Elaine,hmm,mmm,2
Elaine,holders,line,2
Elaine,hours,ago,2
Elaine,im,gonna,2
Elaine,im,staying,2
Elaine,imitating,puddy,2
Elaine,india,tst,2
Elaine,interracial,couple,2
Elaine,iq,test,2
Elaine,jake,jarmel,2
Elaine,jerry's,apartment,2
Elaine,jerry's,arm,2
Elaine,joe,dimaggio,2
Elaine,joe,mayo's,2
